img_id,object_id,label,raters_marked_tappable,split
48694,baf602f,0,5,train
57047,7263013,0,4,train
8663,5707070,0,5,train
57274,4019ce3,1,1,train
69212,1e61f08,0,3,train
14630,f7a51e8,1,2,train
48745,3bc94de,0,5,train
71612,19862e7,0,5,train
22624,3e76e1c,0,5,train
9032,e15ed78,0,4,train
71271,5b176d2,0,3,train
48073,b7d58c9,0,5,train
61598,a723435,0,5,train
43072,e2ddecc,0,4,train
47565,a38e172,0,3,train
55346,67fa308,1,2,train
51094,4e56ca7,0,3,train
44963,d8b5100,0,5,train
28642,2d04c34,0,4,train
57617,f24e567,0,5,train
51997,1029627,0,3,train
586,1fc9d15,0,5,train
70879,4baeb26,0,5,train
9121,ef88b66,1,1,train
36080,b1b0a5e,0,4,train
27112,7af5900,1,0,train
24950,139e11b,1,2,train
14101,80cb6b1,0,5,train
30200,52ec7f4,1,2,train
27719,54248d5,0,5,train
36120,365e0e3,0,5,train
57674,8aaa8bb,1,0,train
62011,145b581,1,2,train
10873,1f967cd,1,0,train
39791,79a305a,1,2,train
46769,5122f07,1,1,train
59177,db7941b,1,2,train
13696,5b4c0c4,0,3,train
66691,64d3c73,0,5,train
68685,71f10ef,0,3,train
11323,aa24789,0,4,train
12726,5b5fc8b,1,2,train
46564,56ec0b,0,5,train
46800,7a2be70,0,3,train
71507,f10b3d4,1,0,train
41109,b009394,1,2,train
17257,35db69d,1,2,train
4059,b0d2d03,1,1,train
54857,c0e1f3,1,0,train
34598,fb90086,0,5,train
18772,3fbdd87,0,4,train
32100,373e506,1,2,train
54788,63fb85a,0,5,train
70659,8bcd381,1,0,train
15121,f33c9ed,1,2,train
26594,b19f02b,1,0,train
5117,545ceff,0,4,train
49013,ecbe9a4,0,5,train
28358,86f3344,0,4,train
14074,507c5ae,1,1,train
56560,38119ae,0,3,train
23917,c73c718,0,4,train
44963,32cca71,1,2,train
51784,f25c28b,0,5,train
67001,8a949f7,0,4,train
2123,5e043d2,0,5,train
65512,9bc4dcf,1,2,train
67003,3780e3d,0,4,train
61199,9bc1908,1,1,train
37403,f524376,0,4,train
58698,1cc99ac,0,5,train
32063,f037714,0,5,train
71322,f772325,0,5,train
60683,7b1a63e,0,5,train
